KPI,Method,Mean coverage (target 90%),Std coverage across repeats,Mean interval width
TT_IB_LB,Analytic,0.9134615384615385,0.06866758104368127,70.55985929347955
TT_IB_LB,Bayesian (grid),0.9153846153846154,0.06944411571256842,70.65802844526351
TT_IB_LB,Ensemble (bootstrap),0.9596153846153845,0.03743831218063804,84.10764446722006
TT_IB_LB,Conformal (normalized),0.9192307692307692,0.08505132456729224,80.06509549419056
WT_IB_LB,Analytic,0.9115384615384615,0.06561046965089225,90.88876923811787
WT_IB_LB,Bayesian (grid),0.9115384615384615,0.06561046965089225,90.84267816828691
WT_IB_LB,Ensemble (bootstrap),0.9538461538461537,0.03768445758127967,109.23294567306375
WT_IB_LB,Conformal (normalized),0.9153846153846154,0.068370726287043,100.18908001921469
